index,slice_ind,sub_slice_ind,slice,sub_slice,level,value,title,description
1.1.1,1,1.1,Organize Network,Team Formation,1,20,Core team coalesces around bird species/multispecies group,Interested parties who will provide leadership come together to create working group
1.1.2,1,1.1,Organize Network,Team Formation,2,20,Named working group established with defined leadership,Working group formed with at least initial leadership responsibilities assigned
1.1.3,1,1.1,Organize Network,Team Formation,3,20,Human dimensions & biological experts invited to partnership,"Invitations to multiple spheres of expertise: biologists, ecologists, social scientists, government, habitat managers; core sphere = active working group members, supporting sphere = ancillary members/occasional experts"
1.1.4,1,1.1,Organize Network,Team Formation,4,20,Attention to diversity and inclusivity in core and supporting teams,International leaders & groups invited (e.g. Global South co-leads for US/Canada teams); diverse and nontraditional partners invited (amplifies level 3) 
1.1.5,1,1.1,Organize Network,Team Formation,5,20,Group organizational plan and clear rules of engagement established,Rules of engagement reflect values on inclusiveness and a clear process for decision making
1.2.1,1,1.2,Organize Network,Connections,1,20,Basic internal communications plan established,"Email lists, listserv strategies, periodic newsletter?"
1.2.2,1,1.2,Organize Network,Connections,2,20,Meeting schedule identified and sustained,Group and subgroups meet virtually and/or in person—and continue to meet—on a regular schedule
1.2.3,1,1.2,Organize Network,Connections,3,20,External communication: established website and/or newsletter,Structure to maintain group visibility with other working groups and general public (if desired)
1.2.4,1,1.2,Organize Network,Connections,4,20,Multilingual capacity,"Mechanism in place for translating website, communications, meetings, etc. into English, Spanish, French, or Portuguese (as needed)"
1.2.5,1,1.2,Organize Network,Connections,5,20,Strategy for sustaining partnership involvement,Strategy in place for ensuring that partner contact and capacity building continue to occur (results of this planning actualized in criteria 1.3.4 and 1.3.5)
1.3.1,1,1.3,Organize Network,Network Action,1,20,Organizational and conservation workplan delineating necessary tasks,Core team cannot do all the work; workplan articulates necessary tasks and the organization necessary to get tasks done
1.3.2,1,1.3,Organize Network,Network Action,2,20,Responsibility for tasks assumed by subcommittees with leaders,Permanent or as-needed subcommittees operational with leadership/coordination responsibility clearly designated
1.3.3,1,1.3,Organize Network,Network Action,3,20,Subcommittees/local groups deliberately linked horizontally and vertically,"Flow of information and support between groups/committees is encouraged; all groups linked to larger effort, information transmitted to subgroups and subgroup accomplishments scaled up"
1.3.4,1,1.3,Organize Network,Network Action,4,20,Intentional capacity building,"Network implements its plans for sustaining conservation action—continued education, training opportunities, monitoring."
1.3.5,1,1.3,Organize Network,Network Action,5,20,Network relationships engender continued conservation action,"Network strength fosters relationships that lead to autonomous support and conservation action (similar to 6.3.5, but with organizational as opposed to implementation context)"
2.1.1,2,2.1,Assess Species Population,Vulnerability,1,20,"Global population size, short-term & long-term trends estimated",Some idea of population parameters from isolated surveys and/or expert opinion
2.1.2,2,2.1,Assess Species Population,Vulnerability,2,20,"Global population size, short-term & long-term trends known",Greater certainty with respect to population size and trends based on statistically significant survey assessments
2.1.3,2,2.1,Assess Species Population,Vulnerability,3,20,ACAD Watch List and Tipping Point assessment complete,"Incorporates breeding & nonbreeding threat level, distribution, and climate change, as well as population size and trend"
2.1.4,2,2.1,Assess Species Population,Vulnerability,4,20,"Vulnerability recognized at national, state/province, or partner scales","Compilation of national (including Middle/South America), state/province/department, and implementing partner (e.g. Joint Venture, ProAlas, IBA) listings completed"
2.1.5,2,2.1,Assess Species Population,Vulnerability,5,20,Local knowledge included in vulnerability assessment,Traditional ecological knowledge as well as unpublished Global South studies and knowledge incorporated in assessment
2.2.1,2,2.2,Assess Species Population,Population Structure,1,20,Subspecies identified,Known subspecies as described in the literature and museum specimens (may not be relevant for some species)
2.2.2,2,2.2,Assess Species Population,Population Structure,2,20,Genoscape analysis completed,Genoscape analysis (cf. https://www.birdgenoscape.org/) completed; may not be relevant for all species
2.2.3,2,2.2,Assess Species Population,Population Structure,3,20,Spatially explicit population density and trends available,"Spatially explicit source information in eBird, BBS, ACAD, MoSI, etc."
2.2.4,2,2.2,Assess Species Population,Population Structure,4,20,"""Natural"" populations defined by similar trend trajectories",Demographic attributes from long-term monitoring data used to delineate natural population structure (sensu Rushing et al. 2016)
2.2.5,2,2.2,Assess Species Population,Population Structure,5,20,Potential partners identified in key breeding geographies,Analysis of partnering opportunities in areas of high species density and/or negative population trajectories where conservation action is likely required
2.3.1,2,2.3,Assess Species Population,Migratory Connectivity,1,20,"Migratory status, breeding and nonbreeding geographies identified","Source information in eBird, BBS, MoSI, ACAD, Birds of the World"
2.3.2,2,2.3,Assess Species Population,Migratory Connectivity,2,20,Migratory connectivity and migration pathways identified,"Results of studies of individual birds using isotopes, banding data, geolocators, nanotags, GPS transmitters, etc."
2.3.3,2,2.3,Assess Species Population,Migratory Connectivity,3,20,Critical migratory stopover locations identified,"Concentration areas during migration along shorelines, molt migration locations, etc."
2.3.4,2,2.3,Assess Species Population,Migratory Connectivity,4,20,Linked breeding/nonbreeding areas for declining populations,Linkages established between distinctly declining breeding populations and nonbreeding areas for the same populations
2.3.5,2,2.3,Assess Species Population,Migratory Connectivity,5,20,Potential partners contacted in key nonbreeding geographies,"Linkages established with biologists, ecologists, ornithologists, sociologists, conservationists, etc. in linked geographies of interest"
3.1.1,3,3.1,Identify Focal Areas,Demographics,1,20,"Spatially explicit breeding season success, breeding productivity known","In addition to trends, actual spatially explicit breeding vital rates have been identified (e.g., nest success, production, fledgling survival)"
3.1.2,3,3.1,Identify Focal Areas,Demographics,2,20,Nonbreeding and annual cycle vital rates known,"Adult survival during breeding and nonbreeding seasons, first year survival, dispersal, recurrent migratory mortality"
3.1.3,3,3.1,Identify Focal Areas,Demographics,3,20,Ecological and life history correlates of vital rates identified,Age- and sex-specific demographic and life history differences have been identified and quantitatively estimated
3.1.4,3,3.1,Identify Focal Areas,Demographics,4,20,Integrated population model (IPM) completed,"Full IPM model, or a determination that inference is sufficient to proceed with conservation action with incomplete knowledge"
3.1.5,3,3.1,Identify Focal Areas,Demographics,5,20,Socioeconomic correlates of demographic parameters identified,"E.g., are spatially explicit vital rates correlated with land ownership, conservation policies, or management practices?"
3.2.1,3,3.2,Identify Focal Areas,Focus Areas,1,20,Demographically linked populations identified,Demographic analyses corroborate and refine linked migratory populations suggested by 2.3.4 assessment
3.2.2,3,3.2,Identify Focal Areas,Focus Areas,2,20,IPM and linked population geography used to identify focus areas,When in the annual cycle and where in the species range would conservation action most likely change population trajectory?
3.2.3,3,3.2,Identify Focal Areas,Focus Areas,3,20,Partnering opportunities identified in focus areas,"In biologically assessed focal areas, partnership landscape assessed (e.g., private or public lands; economic status of local communities) "
3.2.4,3,3.2,Identify Focal Areas,Focus Areas,4,20,Key partner opportunities refined and contacts established,Network analysis suggests partnerships (not just bird-oriented) that might be most promising for leveraging conservation action
3.2.5,3,3.2,Identify Focal Areas,Focus Areas,5,20,Biological focus areas refined by including human landscape assessment,Biological and social dimensions combined to further refine areas in which to focus species conservation actions
3.3.1,3,3.3,Identify Focal Areas,Local Knowledge,1,20,Review of published knowledge relevant for identified focus areas,"In addition to target species studies, what can we learn about focus areas that would be important (e.g. climate change, human well-being issues)?"
3.3.2,3,3.3,Identify Focal Areas,Local Knowledge,2,20,"Review of relevant local knowledge, published or unpublished","Thorough attempt to include studies published in Global South, unpublished reports, insights from scientists working in focus areas"
3.3.3,3,3.3,Identify Focal Areas,Local Knowledge,3,20,Local community contacts identified in focus areas,"Leaders of 3.2.4 partnerships identified (e.g., tribal biologists, community action leaders, strong links from amplified social network analysis)"
3.3.4,3,3.3,Identify Focal Areas,Local Knowledge,4,20,Local and Traditional Ecological Knowledge assessed,Conversations with above community leaders results in inclusion of local insights and indigenous Traditional Ecological Knowledge
3.3.5,3,3.3,Identify Focal Areas,Local Knowledge,5,20,Focus area profile completed,"Synthesis of social, biological, geopolitical, and traditional ecological knowledge for focus areas"
4.1.1,4,4.1,Identify Challenges,Habitat and Ecology,1,20,Breeding habitat and ecology known,"Detailed breeding and foraging habitat relationships, including  breeding system, brood sequence, nest sites, foraging niche, diet, etc., needed to identify specific threats"
4.1.2,4,4.1,Identify Challenges,Habitat and Ecology,2,20,Nonbreeding habitat and ecology known,"Nonbreeding habitat relationships, including dispersal, migration, interspecies relationships, foraging niche, molt requirements, etc., needed to identify specific threats"
4.1.3,4,4.1,Identify Challenges,Habitat and Ecology,3,20,"Spatially explicit habitat mapping, breeding and nonbreeding","GIS mapping of available and restorable habitat, breeding and nonbreeding, especially within focus areas"
4.1.4,4,4.1,Identify Challenges,Habitat and Ecology,4,20,Human activities affecting breeding habitat quality identified,What are the most important anthropogenic factors affecting breeding habitat quality at habitat (not regional) scale?
4.1.5,4,4.1,Identify Challenges,Habitat and Ecology,5,20,Human activities affecting nonbreeding habitat quality identified,What are the most important anthropogenic factors affecting nonbreeding habitat quality at habitat (not regional) scale?
4.2.1,4,4.2,Identify Challenges,Landscape Challenges,1,20,Broad regional breeding season threats identified,"Broad (e.g., agriculture, urbanization) regionally specific threats identified (using, e.g., Conservation Standards, Audubon threats map)"
4.2.2,4,4.2,Identify Challenges,Landscape Challenges,2,20,Broad regional nonbreeding season threats identified,"Broad (e.g., conversion to pasture) regionally specific threats identified for nonbreeding season, including local knowledge"
4.2.3,4,4.2,Identify Challenges,Landscape Challenges,3,20,Socioeconomic drivers of threats identified,"Preliminary analysis of anthropogenic drivers of threats, including assessment of societal value and social perceptions of threats"
4.2.4,4,4.2,Identify Challenges,Landscape Challenges,4,20,"Systematic threats analysis, refinement, and prioritization","Threats prioritization (e.g., Conservation Standards) also includes feasibility based on human dimensions assessment"
4.2.5,4,4.2,Identify Challenges,Landscape Challenges,5,20,Existing campaigns for addressing priority threats identified,"Analysis of partnering opportunities (allies) for addressing threats, especially in areas of high species density and/or negative population trajectories "
4.3.1,4,4.3,Identify Challenges,Limiting Factors,1,20,Threat analysis applied to focus areas,"Analysis of links between IPM model (where/when), focus area determination (3.3.5), and identified threats "
4.3.2,4,4.3,Identify Challenges,Limiting Factors,2,20,Intersection between species ecology and threats explored,"Intersection of broad threat and species ecology allows refinement of threat to level of a limiting factor hypothesis (e.g., wood encroachment removal from nonbreeding season grasslands)"
4.3.3,4,4.3,Identify Challenges,Limiting Factors,3,20,Socioeconomic analysis of hypothetical limiting factor,"Identification of anthropogenic drivers underlying limiting factor (e.g., what are the social aspects leading to woody encroachment in nonbreeding season grasslands?)"
